821e54d2-ec63-4175-8827-eede52dddda4,Kiev,Madrid,2022.01.12,15.30,80.50
ecd9a424-e18b-43cd-a6cf-037086cd9a7a,London,Paris,2022.01.13,17.00,90.00
5d401d5c-2828-45ba-868b-9ed492c2757b,Malaga,Kiev,2022.01.14,19.30,85.00
2a989975-5782-4b17-8912-1e40c45067a2,Riga,Warszawa,2022.01.16,12.50,100.00
26e01bad-8a70-4765-aa1a-7632c309fb22,Praga,Kiev,2022.01.18,3.00,87.99
cca7f11e-ae7c-4311-bd47-e7313572d3d3,Sofia,Vilnius,2022.01.20,14.10,92.99
3a15a1ac-a37a-4324-b9f0-a88d2a9ea923,Lissabon,London,2022.01.21,12.45,100.00
94031b01-8e8c-4601-a434-f59db469f6a7,Roma,Riga,2022.01.22,11.35,95.30
15a1c543-f458-418a-940a-354fa1f87d0c,Kiev,Paris,2022.01.25,4.05,100.00
37bbafac-8f0b-42ab-b40f-12c5ef061581,London,Wien,2022.01.27,7.00,87.99
